,Labels,Precision,Recall,F1 Score,Support
0,Administration,0.4823529411764706,0.6833333333333333,0.5655172413793104,60
1,Consulting  and Professional Services,0.16666666666666666,0.1,0.125,10
2,Customer Service and Support,0.4782608695652174,0.4230769230769231,0.44897959183673475,26
3,Finance,0.3076923076923077,0.19047619047619047,0.23529411764705882,21
4,Human Resources,0.75,0.75,0.75,4
5,Presales,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
6,SAP,0.4,0.2222222222222222,0.2857142857142857,9
7,Sales,0.48484848484848486,0.5925925925925926,0.5333333333333333,27
8,Software-Design and Development,0.7391304347826086,0.6710526315789473,0.7034482758620689,76
9,Software-Development Operations,0.0,0.0,0.0,7
